'august 14 1733', '1733-08-14'
'may 27 2059', '2059-05-27'
'nov 24 1566', '1566-11-24'
'jul 3 1576', '1576-07-03'
'december 24 1845', '1845-12-24'
'nov 2 1928', '1928-11-02'
'5 july 1971', '1971-07-05'
'jan 18 1856', '1856-01-18'
'march 11 1785', '1785-03-11'
'tue 6 jan 1863', '1863-01-06'
'thursday october 27 1594', '1594-10-27'
'19 oct 2063', '2063-10-19'
'march 12 1779', '1779-03-12'
'saturday august 12 1747', '1747-08-12'
'monday february 7 1842', '1842-02-07'
'2025 13 feb', '2025-02-13'
'sun 7 apr 1709', '1709-04-07'
'may 28 1692', '1692-05-28'
'nov 28 1642', '1642-11-28'
'feb 24 1644', '1644-02-24'
'18 june 2068', '2068-06-18'
'1553 9 nov', '1553-11-09'
'2053 22 september', '2053-09-22'
'friday 21 june 2013', '2013-06-21'
'thursday 13 june 1568', '1568-06-13'
'22 december 1582', '1582-12-22'
'28 may 1563', '1563-05-28'
'april 10 2006', '2006-04-10'
'tue 13 apr 2066', '2066-04-13'
'25 mar 1711', '1711-03-25'
'2038 19 jan', '2038-01-19'
'friday june 11 1621', '1621-06-11'
'28 june 1758', '1758-06-28'
'jan 31 1756', '1756-01-31'
'mar 21 1940', '1940-03-21'
'tuesday 1706 2 02', '1706-02-02'
'2 september 1699', '1699-09-02'
'jul 19 1804', '1804-07-19'
'1949 18 november', '1949-11-18'
'thu 1529 31 october', '1529-10-31'
'tuesday 2059 25 11', '2059-11-25'
'july 21 1542', '1542-07-21'
'4 september 1767', '1767-09-04'
'18 apr 1736', '1736-04-18'
'march 15 1662', '1662-03-15'
'7/4/37', '2037-07-04'
'thu 1721 13 march', '1721-03-13'
'saturday august 27 1616', '1616-08-27'
'7/7/05', '1905-07-07'
'11/1/36', '1936-11-01'
'2 february 1971', '1971-02-02'
'8 oct 1725', '1725-10-08'
'friday august 18 1916', '1916-08-18'
'sat 23 jan 1762', '1762-01-23'
'23 october 1578', '1578-10-23'
'november 29 1658', '1658-11-29'
'sep 30 1766', '1766-09-30'
'9/23/47', '1847-09-23'
'aug 28 1795', '1795-08-28'
'may 25 1582', '1582-05-25'
'apr 13 1842', '1842-04-13'
'december 13 1894', '1894-12-13'
'august 16 1565', '1565-08-16'
'tuesday 1870 26 07', '1870-07-26'
'august 18 1551', '1551-08-18'
'1902 8 sep', '1902-09-08'
'december 8 2047', '2047-12-08'
'14 december 1791', '1791-12-14'
'monday 14 december 1914', '1914-12-14'
'thursday 27 september 2012', '2012-09-27'
'july 26 1523', '1523-07-26'
'7 sep 2001', '2001-09-07'
'oct 3 1572', '1572-10-03'
'22 may 1629', '1629-05-22'
'1976 16 aug', '1976-08-16'
'sunday december 8 1669', '1669-12-08'
'thu 4 dec 1890', '1890-12-04'
'november 25 1832', '1832-11-25'
'may 23 1594', '1594-05-23'
'8 july 1895', '1895-07-08'
'sat 1586 27 december', '1586-12-27'
'december 25 2063', '2063-12-25'
'thu 21 nov 1726', '1726-11-21'
'mar 17 1603', '1603-03-17'
'12 january 2056', '2056-01-12'
'feb 11 1676', '1676-02-11'
'sep 27 2065', '2065-09-27'
'9 january 1634', '1634-01-09'
'april 24 1836', '1836-04-24'
'wednesday august 6 1834', '1834-08-06'
'8/28/87', '1887-08-28'
'december 5 1618', '1618-12-05'
'monday june 21 1802', '1802-06-21'
'may 16 1526', '1526-05-16'
'november 15 1573', '1573-11-15'
'1 october 2033', '2033-10-01'
'sunday august 10 2059', '2059-08-10'
'1855 4 january', '1855-01-04'
'18/02/1944', '1944-02-18'
'14 mar 2021', '2021-03-14'
'1585 13 oct', '1585-10-13'
'april 22 1548', '1548-04-22'
'20 january 1572', '1572-01-20'
'september 6 1859', '1859-09-06'
'wednesday august 19 2009', '2009-08-19'
'june 5 1683', '1683-06-05'
'3/15/46', '1546-03-15'
'january 6 2064', '2064-01-06'
'10 july 1923', '1923-07-10'
'4 may 1940', '1940-05-04'
'thursday april 21 1983', '1983-04-21'
'wednesday 1924 6 08', '1924-08-06'
'5/22/66', '2066-05-22'
'dec 23 1577', '1577-12-23'
'friday april 23 1824', '1824-04-23'
'tuesday 2024 7 05', '2024-05-07'
'sun 10 oct 1537', '1537-10-10'
'1944 9 mar', '1944-03-09'
'august 24 1770', '1770-08-24'
'jun 14 1867', '1867-06-14'
'21/06/1807', '1807-06-21'
'apr 6 1531', '1531-04-06'
'18 january 1647', '1647-01-18'
'thursday 1740 10 03', '1740-03-10'
'thursday july 16 1767', '1767-07-16'
'saturday 4 may 1771', '1771-05-04'
'friday november 18 1892', '1892-11-18'
'saturday march 31 1528', '1528-03-31'
'8 september 2031', '2031-09-08'
'jul 4 1599', '1599-07-04'
'jul 8 2014', '2014-07-08'
'march 31 1564', '1564-03-31'
'dec 26 1761', '1761-12-26'
'1934 8 feb', '1934-02-08'
'january 28 2064', '2064-01-28'
'fri 13 nov 1789', '1789-11-13'
'15 march 1581', '1581-03-15'
'tuesday april 30 1720', '1720-04-30'
'may 27 1819', '1819-05-27'
'monday march 27 2051', '2051-03-27'
'december 18 1813', '1813-12-18'
'july 2 1835', '1835-07-02'
'22 june 1749', '1749-06-22'
'26 november 1749', '1749-11-26'
'november 4 1533', '1533-11-04'
'6 september 1883', '1883-09-06'
'27 october 1591', '1591-10-27'
'sun 22 mar 1891', '1891-03-22'
'nov 23 1812', '1812-11-23'
'january 18 2060', '2060-01-18'
'january 26 1540', '1540-01-26'
'17 may 2041', '2041-05-17'
'september 22 1894', '1894-09-22'
'1998 23 march', '1998-03-23'
'november 16 1936', '1936-11-16'
'monday january 13 1868', '1868-01-13'
'20 august 2071', '2071-08-20'
'22 april 1779', '1779-04-22'
'29 july 1612', '1612-07-29'
'23 feb 1784', '1784-02-23'
'friday november 23 1906', '1906-11-23'
'25 december 1901', '1901-12-25'
'31 march 1780', '1780-03-31'
'22 sep 1705', '1705-09-22'
'tuesday 31 march 1992', '1992-03-31'
'01/12/1685', '1685-12-01'
'sun 25 jul 1784', '1784-07-25'
'march 3 2058', '2058-03-03'
'march 16 1953', '1953-03-16'
'20 october 1552', '1552-10-20'
'20 august 1839', '1839-08-20'
'aug 19 2007', '2007-08-19'
'sun 19 sep 1537', '1537-09-19'
'sun 18 jan 1705', '1705-01-18'
'july 14 1651', '1651-07-14'
'08/04/1685', '1685-04-08'
'october 12 2040', '2040-10-12'
'may 31 1993', '1993-05-31'
'jul 30 1991', '1991-07-30'
'thu 1709 24 january', '1709-01-24'
'6 january 1778', '1778-01-06'
'7/10/21', '1621-07-10'
'fri 27 dec 2069', '2069-12-27'
'11 april 1946', '1946-04-11'
'wednesday 22 december 1548', '1548-12-22'
'5 january 2050', '2050-01-05'
'18 march 1776', '1776-03-18'
'june 24 1946', '1946-06-24'
'16 may 2049', '2049-05-16'
'dec 25 1696', '1696-12-25'
'25 july 1890', '1890-07-25'
'mon 1884 17 november', '1884-11-17'
'december 25 1626', '1626-12-25'
'22 march 1727', '1727-03-22'
'january 21 1635', '1635-01-21'
'8 february 1880', '1880-02-08'
'november 7 1736', '1736-11-07'
'17 october 1623', '1623-10-17'
'6 may 1900', '1900-05-06'
'jun 19 1862', '1862-06-19'
'2/7/56', '1756-02-07'
'sunday 28 april 1686', '1686-04-28'
'july 17 1777', '1777-07-17'
'6 may 1548', '1548-05-06'
'23 march 2025', '2025-03-23'
'thu 1836 22 september', '1836-09-22'
'august 30 1859', '1859-08-30'
'friday august 22 1783', '1783-08-22'
'apr 2 1951', '1951-04-02'
'thursday 22 december 1892', '1892-12-22'
'aug 29 2049', '2049-08-29'
'1905 20 sep', '1905-09-20'
'20 july 1699', '1699-07-20'
'dec 14 1628', '1628-12-14'
'jan 12 1756', '1756-01-12'
'september 11 1881', '1881-09-11'
'february 22 2009', '2009-02-22'
'22 january 1684', '1684-01-22'
'jul 1 1806', '1806-07-01'
'29 november 1965', '1965-11-29'
'september 18 1546', '1546-09-18'
'1607 2 nov', '1607-11-02'
'saturday 7 april 1764', '1764-04-07'
'dec 21 2002', '2002-12-21'
'sat 18 jun 1966', '1966-06-18'
'13 jan 1929', '1929-01-13'
'26 december 1724', '1724-12-26'
'monday july 21 1687', '1687-07-21'
'june 5 2064', '2064-06-05'
'thursday 1691 13 12', '1691-12-13'
'14 june 1844', '1844-06-14'
'13 march 1832', '1832-03-13'
'15 october 1663', '1663-10-15'
'7 april 1712', '1712-04-07'
'thu 1653 29 may', '1653-05-29'
'saturday 1724 16 09', '1724-09-16'
'fri 1825 9 september', '1825-09-09'
'saturday 25 april 1637', '1637-04-25'
'7 jul 1567', '1567-07-07'
'august 29 1573', '1573-08-29'
'april 9 1773', '1773-04-09'
'11/21/76', '1776-11-21'
'may 27 1795', '1795-05-27'
'monday 1851 3 03', '1851-03-03'
'oct 12 1810', '1810-10-12'
'19 january 1916', '1916-01-19'
'4/22/62', '1762-04-22'
'20/02/1789', '1789-02-20'
'3/3/11', '1811-03-03'
'25 aug 2005', '2005-08-25'
'22/06/1580', '1580-06-22'
'december 4 1612', '1612-12-04'
'thursday june 1 1550', '1550-06-01'
'tue 7 apr 1925', '1925-04-07'
'december 14 2051', '2051-12-14'
'thursday march 1 1906', '1906-03-01'
'feb 4 1741', '1741-02-04'
'saturday 10 may 1800', '1800-05-10'
'february 14 1636', '1636-02-14'
'fri 2018 7 september', '2018-09-07'
'april 15 1849', '1849-04-15'
'tuesday august 12 2003', '2003-08-12'
'tue 27 jul 1909', '1909-07-27'
'12 october 1796', '1796-10-12'
'saturday november 19 1870', '1870-11-19'
'oct 5 1712', '1712-10-05'
'december 12 1664', '1664-12-12'
'mon 1759 25 june', '1759-06-25'
'september 9 1906', '1906-09-09'
'12/11/1755', '1755-11-12'
'tuesday april 14 1637', '1637-04-14'
'fri 1931 13 february', '1931-02-13'
'dec 6 1657', '1657-12-06'
'dec 18 1682', '1682-12-18'
'18 june 1737', '1737-06-18'
'sep 12 1612', '1612-09-12'
'1835 1 feb', '1835-02-01'
'dec 3 2050', '2050-12-03'
'1982 22 may', '1982-05-22'
'march 25 2019', '2019-03-25'
'sep 26 2024', '2024-09-26'
'6 december 1945', '1945-12-06'
'saturday july 23 1740', '1740-07-23'
'friday june 29 1703', '1703-06-29'
'wednesday 1861 24 04', '1861-04-24'
'november 12 1902', '1902-11-12'
'1867 14 aug', '1867-08-14'
'august 6 2006', '2006-08-06'
'may 7 2026', '2026-05-07'
'monday august 22 1842', '1842-08-22'
'april 12 1889', '1889-04-12'
'august 26 2008', '2008-08-26'
'sunday october 22 1673', '1673-10-22'
'29 december 1868', '1868-12-29'
'monday may 31 1554', '1554-05-31'
'fri 1 sep 2006', '2006-09-01'
'4 march 1559', '1559-03-04'
'fri 19 aug 1718', '1718-08-19'
'17 october 1974', '1974-10-17'
'16 march 1871', '1871-03-16'
'thursday may 4 1837', '1837-05-04'
'aug 2 1903', '1903-08-02'
'1950 29 april', '1950-04-29'
'thursday 2061 25 08', '2061-08-25'
'wed 6 mar 1782', '1782-03-06'
'june 26 1822', '1822-06-26'
'saturday july 4 1970', '1970-07-04'
'3/15/49', '1849-03-15'
'2 february 2052', '2052-02-02'
'may 6 1661', '1661-05-06'
'march 15 1884', '1884-03-15'
'1883 19 apr', '1883-04-19'
'mar 30 1910', '1910-03-30'
'saturday 7 may 1881', '1881-05-07'
'8 march 2034', '2034-03-08'
'15 aug 1805', '1805-08-15'
'jan 10 1963', '1963-01-10'
'wednesday 9 july 1580', '1580-07-09'
'sunday february 28 1802', '1802-02-28'
'14 june 1677', '1677-06-14'
'20 march 1597', '1597-03-20'
'1844 30 january', '1844-01-30'
'sep 27 2005', '2005-09-27'
'september 7 2001', '2001-09-07'
'11/11/1871', '1871-11-11'
'january 29 1583', '1583-01-29'
'monday september 14 1648', '1648-09-14'
'fri 1941 14 march', '1941-03-14'
'6/10/89', '1689-06-10'
'mar 25 1553', '1553-03-25'
'jul 4 1645', '1645-07-04'
'feb 8 1648', '1648-02-08'
'december 11 1803', '1803-12-11'
'saturday october 10 1581', '1581-10-10'
'9 april 2015', '2015-04-09'
'may 28 1654', '1654-05-28'
'4/2/16', '1616-04-02'
'aug 28 1981', '1981-08-28'
'tuesday october 8 1805', '1805-10-08'
'26 july 1858', '1858-07-26'
'friday 8 january 1526', '1526-01-08'
'august 20 1628', '1628-08-20'
'28 march 1563', '1563-03-28'
'16 february 1892', '1892-02-16'
'24/08/1809', '1809-08-24'
'8 july 1598', '1598-07-08'
'13 april 1792', '1792-04-13'
'30 august 1893', '1893-08-30'
'monday february 20 2051', '2051-02-20'
'feb 21 2068', '2068-02-21'
'december 20 1650', '1650-12-20'
'monday march 13 1967', '1967-03-13'
'friday 1522 13 10', '1522-10-13'
'wednesday february 2 1977', '1977-02-02'
'may 18 1687', '1687-05-18'
'17 nov 1727', '1727-11-17'
'thu 4 jun 1615', '1615-06-04'
'sep 7 1752', '1752-09-07'
'friday june 24 2022', '2022-06-24'
'1666 10 april', '1666-04-10'
'monday june 11 1696', '1696-06-11'
'11 feb 1808', '1808-02-11'
'february 26 1900', '1900-02-26'
'7 september 1847', '1847-09-07'
'4 august 1675', '1675-08-04'
'sun 1645 5 march', '1645-03-05'
'thursday 1866 14 06', '1866-06-14'
'nov 29 1710', '1710-11-29'
'april 16 1684', '1684-04-16'
'december 7 1729', '1729-12-07'
'april 23 1610', '1610-04-23'
'september 22 1932', '1932-09-22'
'august 29 1967', '1967-08-29'
'27/02/1714', '1714-02-27'
'sunday 8 february 2037', '2037-02-08'
'10/09/1933', '1933-09-10'
'thu 30 dec 1909', '1909-12-30'
'tue 8 nov 1549', '1549-11-08'
'friday february 7 1913', '1913-02-07'
'november 17 1746', '1746-11-17'
'nov 11 1913', '1913-11-11'
'february 2 1614', '1614-02-02'
'7/19/97', '1997-07-19'
'1909 24 july', '1909-07-24'
'22 april 2013', '2013-04-22'
'1879 20 november', '1879-11-20'
'19 september 1760', '1760-09-19'
'2 july 1861', '1861-07-02'
'apr 13 2039', '2039-04-13'
'march 29 2046', '2046-03-29'
'oct 1 2005', '2005-10-01'
'sunday 1991 6 01', '1991-01-06'
'17 august 2037', '2037-08-17'
'tuesday september 12 1769', '1769-09-12'
'wed 1628 12 april', '1628-04-12'
'march 12 1544', '1544-03-12'
'august 11 1634', '1634-08-11'
'december 2 1873', '1873-12-02'
'4 july 2027', '2027-07-04'
'friday july 28 1876', '1876-07-28'
'8/30/98', '1698-08-30'
'april 17 1771', '1771-04-17'
'feb 7 1608', '1608-02-07'
'2 april 1964', '1964-04-02'
'oct 24 1706', '1706-10-24'
'may 21 1971', '1971-05-21'
'oct 11 2003', '2003-10-11'
'4 november 1558', '1558-11-04'
'sunday 1931 22 11', '1931-11-22'
'oct 9 1639', '1639-10-09'
'tuesday 1982 2 03', '1982-03-02'
'may 6 1904', '1904-05-06'
'4/30/82', '1582-04-30'
'sep 26 1770', '1770-09-26'
'july 24 1636', '1636-07-24'
'january 29 2056', '2056-01-29'
'thursday 13 march 1727', '1727-03-13'
'march 15 1745', '1745-03-15'
'saturday april 2 1955', '1955-04-02'
'thu 11 jan 1562', '1562-01-11'
'jun 11 2033', '2033-06-11'
'sunday may 10 1598', '1598-05-10'
'may 20 1624', '1624-05-20'
'8 aug 1624', '1624-08-08'
'21 august 1683', '1683-08-21'
'thursday 1968 1 08', '1968-08-01'
'1632 6 apr', '1632-04-06'
'1954 12 sep', '1954-09-12'
'wed 4 mar 1908', '1908-03-04'
'dec 25 1618', '1618-12-25'
'19 january 1716', '1716-01-19'
'may 18 1602', '1602-05-18'
'23 mar 1885', '1885-03-23'
'july 18 1554', '1554-07-18'
'may 23 1567', '1567-05-23'
'jul 24 1894', '1894-07-24'
'16 july 2048', '2048-07-16'
'thursday january 21 1965', '1965-01-21'
'tuesday 11 october 1555', '1555-10-11'
'8 may 1604', '1604-05-08'
'november 15 1889', '1889-11-15'
'november 6 1883', '1883-11-06'
'january 14 1825', '1825-01-14'
'1854 31 jan', '1854-01-31'
'19 june 1615', '1615-06-19'
'october 7 1677', '1677-10-07'
'may 1 1740', '1740-05-01'
'march 26 1841', '1841-03-26'
'16 july 1615', '1615-07-16'
'october 20 1946', '1946-10-20'
'tue 1824 6 july', '1824-07-06'
'15/01/1589', '1589-01-15'
'monday july 28 1642', '1642-07-28'
'sunday june 10 1618', '1618-06-10'
'1/4/58', '1758-01-04'
'5 april 1949', '1949-04-05'
'november 17 1832', '1832-11-17'
'friday 5 march 1779', '1779-03-05'
'12 feb 1933', '1933-02-12'
'monday 1972 18 12', '1972-12-18'
'1975 4 feb', '1975-02-04'
'january 1 1933', '1933-01-01'
'dec 30 1613', '1613-12-30'
'30 april 1909', '1909-04-30'
'nov 16 1964', '1964-11-16'
'15 february 1915', '1915-02-15'
'13 november 1833', '1833-11-13'
'january 4 1588', '1588-01-04'
'friday march 29 1613', '1613-03-29'
'jul 26 1887', '1887-07-26'
'thu 17 nov 1814', '1814-11-17'
'november 2 1567', '1567-11-02'
'nov 13 1719', '1719-11-13'
'26 may 1682', '1682-05-26'
'march 15 1551', '1551-03-15'
'12 march 1907', '1907-03-12'
'5 january 1524', '1524-01-05'
'saturday november 29 1625', '1625-11-29'
'tue 8 mar 1588', '1588-03-08'
'1585 2 sep', '1585-09-02'
'monday july 9 1990', '1990-07-09'
'january 2 2015', '2015-01-02'
'august 29 1928', '1928-08-29'
'friday november 7 1947', '1947-11-07'
'thursday september 10 2020', '2020-09-10'
'november 15 1560', '1560-11-15'
'25/06/1633', '1633-06-25'
'october 11 1757', '1757-10-11'
'2 january 1682', '1683-01-02'
'14 may 2036', '2036-05-14'
'sat 1673 25 march', '1673-03-25'
'10 august 1730', '1730-08-10'
'tuesday march 20 1562', '1562-03-20'
'june 20 1586', '1586-06-20'
'monday 1911 11 12', '1911-12-11'
'18/04/1999', '1999-04-18'
'11 november 1804', '1804-11-11'
'13 nov 2043', '2043-11-13'
'thursday may 23 1929', '1929-05-23'
'1729 28 december', '1729-12-28'
'sunday 3 april 1695', '1695-04-03'
'7/25/31', '2031-07-25'
'sunday december 18 1532', '1532-12-18'
'5/13/77', '1777-05-13'
'november 26 1627', '1627-11-26'
'11/06/1966', '1966-06-11'
'thursday april 27 1950', '1950-04-27'
'june 21 1869', '1869-06-21'
'23 february 1804', '1804-02-23'
'tue 1907 16 july', '1907-07-16'
'7 may 1764', '1764-05-07'
'october 7 1761', '1761-10-07'
'oct 9 1781', '1781-10-09'
'saturday 2025 6 12', '2025-12-06'
'sat 1533 2 september', '1533-09-02'
'january 18 1661', '1661-01-18'
'october 24 1829', '1829-10-24'
'thursday 5 october 1533', '1533-10-05'
'thursday august 22 1771', '1771-08-22'
'31 january 1682', '1682-01-31'
'sunday august 27 2000', '2000-08-27'
'aug 9 1594', '1594-08-09'
'january 18 1928', '1928-01-18'
'9 sep 1541', '1541-09-09'
'april 7 1868', '1868-04-07'
'march 19 1618', '1618-03-19'
'sunday september 22 1963', '1963-09-22'
'8/29/80', '1580-08-29'
'july 29 1901', '1901-07-29'
'25 november 2042', '2042-11-25'
'12/17/98', '1998-12-17'
'mar 26 1740', '1740-03-26'
'24 october 1777', '1777-10-24'
'10 november 1832', '1832-11-10'
'6 september 1614', '1614-09-06'
'march 17 1801', '1801-03-17'
'26 may 1973', '1973-05-26'
'28 april 1883', '1883-04-28'
'12/6/85', '1585-12-06'
'1932 13 mar', '1932-03-13'
'august 4 2039', '2039-08-04'
'june 4 1580', '1580-06-04'
'december 16 1587', '1587-12-16'
'november 13 1617', '1617-11-13'
'nov 3 1680', '1680-11-03'
'15 oct 1782', '1782-10-15'
'1/11/82', '1982-01-11'
'30/08/1957', '1957-08-30'
'wed 1680 26 june', '1680-06-26'
'wednesday november 4 1648', '1648-11-04'
'tue 1931 26 may', '1931-05-26'
'jun 1 1892', '1892-06-01'
'march 1 1933', '1933-03-01'
'august 3 1595', '1595-08-03'
'dec 18 1750', '1750-12-18'
'1983 21 january', '1983-01-21'
'december 2 1735', '1735-12-02'
'04/05/1877', '1877-05-04'
'sunday may 1 2011', '2011-05-01'
'march 26 1601', '1601-03-26'
'january 10 2045', '2045-01-10'
'tue 15 jan 1901', '1901-01-15'
'saturday 1894 10 02', '1894-02-10'
'saturday april 14 1742', '1742-04-14'
'jul 12 1816', '1816-07-12'
'jan 24 2004', '2004-01-24'
'3 march 1931', '1931-03-03'
'1977 18 july', '1977-07-18'
'mar 9 1961', '1961-03-09'
'12 august 1859', '1859-08-12'
'april 30 2056', '2056-04-30'
'1524 10 march', '1524-03-10'
'june 8 1617', '1617-06-08'
'19/10/1647', '1647-10-19'
'30 jan 1970', '1970-01-30'
'january 12 1643', '1643-01-12'
'tuesday april 15 1884', '1884-04-15'
'september 4 1686', '1686-09-04'
'jul 26 1536', '1536-07-26'
'22 october 1694', '1694-10-22'
'mon 6 jul 1818', '1818-07-06'
'1998 11 may', '1998-05-11'
'march 14 1806', '1806-03-14'
'friday 30 september 1712', '1712-09-30'
'thu 20 feb 1992', '1992-02-20'
'thursday march 31 1825', '1825-03-31'
'21 june 1602', '1602-06-21'
'march 12 1651', '1651-03-12'
'tuesday august 20 1568', '1568-08-20'
'18 november 1914', '1914-11-18'
'jul 29 2057', '2057-07-29'
'9 march 1886', '1886-03-09'
'29 nov 1602', '1602-11-29'
'7 september 1953', '1953-09-07'
'july 13 1676', '1676-07-13'
'1943 23 august', '1943-08-23'
'june 5 1795', '1795-06-05'
'26 june 1742', '1742-06-26'
'sat 1819 28 august', '1819-08-28'
'15 april 1525', '1525-04-15'
'september 11 1683', '1683-09-11'
'29 april 1671', '1671-04-29'
'3 dec 2029', '2029-12-03'
'21 november 1853', '1853-11-21'
'23 dec 1937', '1937-12-23'
'saturday may 9 1914', '1914-05-09'
'thu 21 feb 1743', '1743-02-21'
'19 october 1886', '1886-10-19'
'1860 17 february', '1860-02-17'
'friday 17 may 1529', '1529-05-17'
'6/19/29', '1929-06-19'
'fri 4 jul 1558', '1558-07-04'
'05/09/1762', '1762-09-05'
'saturday october 5 1585', '1585-10-05'
'august 1 1978', '1978-08-01'
'sunday 1929 27 10', '1929-10-27'
'23 september 1680', '1680-09-23'
'08/11/1577', '1577-11-08'
'19 february 1666', '1666-02-19'
'21/11/1984', '1984-11-21'
'9/17/90', '1690-09-17'
'july 2 1556', '1556-07-02'
'sunday december 27 1761', '1761-12-27'
'24 may 1640', '1640-05-24'
'18 february 1759', '1759-02-18'
'jan 16 1618', '1618-01-16'
'january 1 1601', '1601-01-01'
'saturday 20 october 1556', '1556-10-20'
'08/03/1860', '1860-03-08'
'january 30 1863', '1863-01-30'
'fri 26 nov 1649', '1649-11-26'
'24 april 2017', '2017-04-24'
'22 june 1739', '1739-06-22'
'1929 22 april', '1929-04-22'
'5 january 1850', '1850-01-05'
'3 sep 1820', '1820-09-03'
'21 june 1580', '1580-06-21'
'march 3 1699', '1699-03-03'
'sat 1832 5 may', '1832-05-05'
'jun 9 1857', '1857-06-09'
'07/06/2005', '2005-06-07'
'tuesday march 16 1909', '1909-03-16'
'saturday 1936 20 06', '1936-06-20'
'may 30 1680', '1680-05-30'
'29 june 1863', '1863-06-29'
'october 9 1682', '1682-10-09'
'february 20 1812', '1812-02-20'
'7 october 2070', '2070-10-07'
'tuesday april 19 1583', '1583-04-19'
'tue 23 nov 1784', '1784-11-23'
'november 19 1710', '1710-11-19'
'friday november 16 1551', '1551-11-16'
'july 8 1979', '1979-07-08'
'19 february 1789', '1789-02-19'
'sunday 31 july 2067', '2067-07-31'
'may 26 1875', '1875-05-26'
'nov 17 2011', '2011-11-17'
'fri 2 oct 1643', '1643-10-02'
'jul 6 1863', '1863-07-06'
'16 may 1948', '1948-05-16'
'01/03/1953', '1953-03-01'
'june 11 1752', '1752-06-11'
'august 22 1888', '1888-08-22'
'wednesday october 1 1580', '1580-10-01'
'sep 4 1719', '1719-09-04'
'mon 2 jan 1871', '1871-01-02'
'june 8 1635', '1635-06-08'
'2066 24 march', '2066-03-24'
'july 1 1668', '1668-07-01'
'june 21 1750', '1750-06-21'
'27 march 1847', '1847-03-27'
'october 28 1562', '1562-10-28'
'wednesday march 16 1701', '1701-03-16'
'1582 30 may', '1582-05-30'
'sunday 1545 6 05', '1545-05-06'
'23 may 1993', '1993-05-23'
'1583 14 september', '1583-09-14'
'august 9 1849', '1849-08-09'
'tuesday january 10 1651', '1651-01-10'
'12 november 1989', '1989-11-12'
'25/04/1613', '1613-04-25'
'28/11/1847', '1847-11-28'
'apr 22 2068', '2068-04-22'
'sep 6 1974', '1974-09-06'
'apr 6 1764', '1764-04-06'
'sat 1718 15 october', '1718-10-15'
'20 march 2063', '2063-03-20'
'1763 2 july', '1763-07-02'
'august 6 1746', '1746-08-06'
'2032 8 nov', '2032-11-08'
'thursday february 2 2068', '2068-02-02'
'august 2 1814', '1814-08-02'
'2/19/28', '1628-02-19'
'oct 25 1890', '1890-10-25'
'october 4 1807', '1807-10-04'
'fri 11 jan 1952', '1952-01-11'
'august 18 1732', '1732-08-18'
'6/22/94', '1894-06-22'
'monday october 2 1769', '1769-10-02'
'may 2 1818', '1818-05-02'
'apr 4 1906', '1906-04-04'
'25 september 1807', '1807-09-25'
'13 july 1847', '1847-07-13'
'10 mar 1860', '1860-03-10'
'2060 1 sep', '2060-09-01'
'apr 14 1855', '1855-04-14'
'tuesday 1813 12 10', '1813-10-12'
'3 january 2015', '2016-01-03'
'10/28/35', '1935-10-28'
'10/31/16', '1816-10-31'
'february 9 1571', '1571-02-09'
'07/03/1931', '1931-03-07'
'february 22 1733', '1733-02-22'
'thursday 1903 15 10', '1903-10-15'
'sat 1758 7 january', '1758-01-07'
'sep 22 1672', '1672-09-22'
'5/5/84', '1984-05-05'
'jun 28 2063', '2063-06-28'
'18/05/1990', '1990-05-18'
'august 9 1797', '1797-08-09'
'15 jun 1824', '1824-06-15'
'november 8 1865', '1865-11-08'
'7/4/44', '1944-07-04'
'1565 9 jun', '1565-06-09'
'sep 15 1958', '1958-09-15'
'oct 16 1848', '1848-10-16'
'15 june 2003', '2003-06-15'
'10/11/1588', '1588-11-10'
'friday 1900 5 01', '1900-01-05'
'december 15 2053', '2053-12-15'
'november 19 1764', '1764-11-19'
'12/23/20', '1920-12-23'
'april 30 1578', '1578-04-30'
'sep 5 2020', '2020-09-05'
'thursday june 21 1792', '1792-06-21'
'aug 26 1966', '1966-08-26'
'friday 2029 23 11', '2029-11-23'
'sep 11 2062', '2062-09-11'
'march 19 2051', '2051-03-19'
'mar 31 1981', '1981-03-31'
'7/8/59', '2059-07-08'
'26 december 1821', '1821-12-26'
'2070 10 jul', '2070-07-10'
'july 6 1801', '1801-07-06'
'15 mar 1556', '1556-03-15'
'8 september 1645', '1645-09-08'
'december 4 1695', '1695-12-04'
'august 18 1745', '1745-08-18'
'1575 1 jan', '1575-01-01'
'october 3 2044', '2044-10-03'
'december 6 1759', '1759-12-06'
'25 november 1670', '1670-11-25'
'13 april 1691', '1691-04-13'
'monday february 28 1678', '1678-02-28'
'dec 28 2015', '2015-12-28'
'april 30 1674', '1674-04-30'
'18 september 1796', '1796-09-18'
'25 december 2029', '2029-12-25'
'9 july 1821', '1821-07-09'
'sat 12 dec 1643', '1643-12-12'
'september 6 1899', '1899-09-06'
'aug 27 2002', '2002-08-27'
'17 june 1576', '1576-06-17'
'july 11 1683', '1683-07-11'
'24 december 1833', '1833-12-24'
'23 july 1745', '1745-07-23'
'july 5 1704', '1704-07-05'
'december 3 1882', '1882-12-03'
'26 november 1899', '1899-11-26'
'24 april 1725', '1725-04-24'
'november 20 1892', '1892-11-20'
'thursday 16 november 1741', '1741-11-16'
'wed 1707 2 february', '1707-02-02'
'tuesday 1785 5 07', '1785-07-05'
'1859 19 april', '1859-04-19'
'11 july 1596', '1596-07-11'
